song,project_id,provider,model,calls,errors,cost_usd,first_call_at,last_call_at
Sathamgathaye Sanathanaya,67e14b19-5e5c-4c87-bbc7-7d2512d67e0b,segmind,seedance-2.0-fast,54,9,88.184,2026-05-08T08:33:55.47551+00:00,2026-05-12T12:59:11.763269+00:00
Heramba,31cb5e05-7684-4987-b175-48ec0451bbe2,segmind,seedance-2.0-fast,59,10,86.724,2026-05-30T06:33:48.055858+00:00,2026-05-30T17:04:08.248926+00:00
Gajavadana Gananatha,8c91d143-1900-495a-9e79-9ddd65ae45c8,segmind,seedance-2.0-fast,42,5,74.46,2026-05-29T13:17:16.329197+00:00,2026-05-30T10:03:57.539041+00:00
Sathyam Nyanam Anantham (1),a8741f9c-5fcc-4d8a-ba0a-fe00966c0531,segmind,seedance-2.0-fast,41,6,70.372,2026-05-25T05:51:40.701715+00:00,2026-05-28T13:23:20.373992+00:00
Jnaana Chakshuse,ffee006a-482c-4777-8d5a-cfe96997315d,segmind,seedance-2.0-fast,35,0,64.97,2026-05-12T09:49:08.408326+00:00,2026-05-13T04:41:39.099847+00:00
Sri Ganapathi Thaalam,4ac76eba-c2a5-4a97-ac74-423fd7cd8c58,segmind,seedance-2.0-fast,44,1,61.32,2026-06-01T08:05:04.424655+00:00,2026-06-01T12:51:28.396329+00:00
Om Kaara Padma Brundaya,67e97fb6-d8c7-4ffa-8a21-1fb7dbe44048,vertex,vertex:veo-3.1-generate-001,38,0,58,2026-05-02T08:30:46.607195+00:00,2026-05-02T09:27:40.378436+00:00
Om Anadhyantham,5512913d-9289-460d-80e6-478c85fbcc17,segmind,seedance-2.0-fast,31,1,57.524,2026-05-07T14:45:41.786179+00:00,2026-05-29T15:59:10.513937+00:00
Nirbhayaya Nirantwanthaya,092488bd-b2b0-4dce-9c8f-e8ce73c4546c,segmind,seedance-2.0-fast,28,1,53.436,2026-05-25T08:49:33.846555+00:00,2026-05-28T15:26:59.071108+00:00
Om Sri Gurubyonamaha (Ganapathi Prathane),699327b7-19c9-42e2-bbf1-fff815ba7cf6,segmind,seedance-2.0-fast,26,0,45.406,2026-04-22T16:18:15.340657+00:00,2026-05-22T10:05:15.26476+00:00
Vipannana (1),80ed621c-9e0b-4768-b772-5c4c0819d03f,segmind,seedance-2.0-fast,29,1,44.822,2026-05-28T15:25:06.583951+00:00,2026-05-29T15:10:18.628325+00:00
Ekam Brahmmhai Vah Adhvaithiyam,2a7a7e33-4cac-4a90-847e-cfe27fd778e4,segmind,seedance-2.0-fast,21,0,41.902,2026-05-31T11:47:21.788938+00:00,2026-05-31T12:40:26.021925+00:00
Sri Mahaganapathi Prarthasnmarana Stotram (1),13c259ce-57eb-4da3-8b7e-4e78f1940a1d,segmind,seedance-2.0-fast,23,0,41.756,2026-05-22T11:09:46.896732+00:00,2026-05-25T05:52:15.977153+00:00
Ekam Brahmmhai Vah Adhvaithiyam,6a885d22-31b9-4a04-ba1a-3971b802e7b0,segmind,seedance-2.0-fast,21,1,40.588,2026-05-12T07:54:26.197585+00:00,2026-05-12T11:04:22.343873+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,segmind,seedance-2.0-fast,20,0,36.938,2026-05-22T11:42:59.442849+00:00,2026-05-22T17:20:04.793962+00:00
Sarvahristham,b925df9f-219a-4a99-ad1f-2916c6171114,segmind,seedance-2.0-fast,22,1,35.916,2026-05-26T09:34:13.847849+00:00,2026-05-28T07:51:03.060486+00:00
Shanthanantha Chithathamane,20b6c30b-52b8-4f67-8e35-c1863d748211,segmind,seedance-2.0-fast,18,0,34.894,2026-05-30T05:45:28.55482+00:00,2026-05-30T06:36:08.828493+00:00
Dandakam,44dbbd8e-c707-4876-9b9f-38a553679486,segmind,seedance-2.0-fast,16,2,29.2,2026-05-31T13:29:30.181296+00:00,2026-05-31T13:52:12.505862+00:00
Om Prathamam Baala Vignesham (Ganapathi Shodasha Naama),6e46c26c-872d-430c-b674-fc1320559f60,segmind,seedance-2.0-fast,29,1,27.448,2026-05-09T07:02:11.369824+00:00,2026-05-11T07:51:38.204206+00:00
Om Kaara Padma Brundaya,67e97fb6-d8c7-4ffa-8a21-1fb7dbe44048,segmind,seedance-2.0-fast,24,0,25.112,2026-05-09T10:50:06.726071+00:00,2026-05-11T08:12:14.597458+00:00
Om Sarvam Kalpitham,1cac9a11-d225-4856-94ad-009c1d5a84aa,segmind,seedance-2.0-fast,19,0,24.966,2026-05-28T15:01:37.067548+00:00,2026-05-29T15:53:55.410146+00:00
Om Sarvam Kalpitham,1cac9a11-d225-4856-94ad-009c1d5a84aa,segmind,veo-3.1-fast,30,0,24,2026-04-22T09:07:26.640626+00:00,2026-04-22T10:10:47.32084+00:00
Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,segmind,veo-3.1-fast,28,0,22.4,2026-04-22T10:44:18.361013+00:00,2026-04-24T07:48:55.061489+00:00
Ganesha Vandanam - Sloka (2),d303db34-368c-42f5-a144-3148fec4dfa5,segmind,seedance-2.0-fast,10,0,20.586,2026-05-22T10:06:41.577881+00:00,2026-05-22T11:20:37.302644+00:00
Sri Lakshmi Mahaganapathi Stotram,a3f467ac-a182-47f6-b3ac-0a54589e59fb,segmind,seedance-2.0-fast,15,3,19.272,2026-05-11T15:20:51.362545+00:00,2026-05-12T06:50:39.051739+00:00
Om Prathamam Baala Vignesham (Ganapathi Shodasha Naama),6e46c26c-872d-430c-b674-fc1320559f60,vertex,vertex:veo-3.1-generate-001,13,0,19.2,2026-05-02T05:40:43.85248+00:00,2026-05-02T05:59:32.883216+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,segmind,veo-3.1-fast,39,16,18.4,2026-04-21T11:33:17.736641+00:00,2026-05-02T06:03:07.62812+00:00
Sri Mahaganapathi Prarthasnmarana Stotram,3da31ede-1818-4839-a8ae-f9d07fc1939b,segmind,seedance-2.0-fast,19,7,17.52,2026-04-21T09:09:06.712582+00:00,2026-04-22T05:28:44.723524+00:00
Shuklam Bharadaram Vishnum (Ganapathi Shloka),a2585320-ef27-47be-84b9-7b0024375907,vertex,vertex:veo-3.1-fast-generate-001,25,0,17,2026-05-01T08:53:39.670348+00:00,2026-05-01T13:44:21.912516+00:00
Om Kaara Padma Brundaya,67e97fb6-d8c7-4ffa-8a21-1fb7dbe44048,vertex,vertex:veo-3.1-fast-generate-001,20,0,15.2,2026-05-02T09:29:10.356127+00:00,2026-05-02T12:05:58.510939+00:00
Sri Mahaganapathi Eka Vimshathi Stotram,7433bc5e-a002-4988-a183-5e48f3a6bc9e,segmind,seedance-2.0-fast,9,0,11.68,2026-05-01T14:00:08.010329+00:00,2026-05-01T14:05:27.890075+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,seedance-2.0-fast,16,8,10.95,2026-04-18T08:31:38.084051+00:00,2026-04-24T08:38:59.663803+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,segmind,seedance-2.0-fast,6,0,9.198,2026-05-22T04:18:40.068718+00:00,2026-05-22T04:22:24.335114+00:00
Sri Lakshmi Mahaganapathi Stotram,a3f467ac-a182-47f6-b3ac-0a54589e59fb,segmind,veo-3.1-fast,11,0,8.8,2026-04-30T07:33:34.898886+00:00,2026-04-30T07:36:24.924012+00:00
Gakaaravaachyam,0c777e6d-1e96-43ec-b85d-876eba953d35,segmind,seedance-2.0-fast,5,1,8.76,2026-06-01T08:48:59.537543+00:00,2026-06-01T09:03:57.876715+00:00
Gajavadana Gananatha,8c91d143-1900-495a-9e79-9ddd65ae45c8,google,gemini-3.1-flash-image-preview,214,0,8.56,2026-05-29T07:10:29.282887+00:00,2026-05-30T09:56:37.472129+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,segmind,veo-3.1-fast,11,1,8,2026-04-18T06:16:35.66071+00:00,2026-04-18T08:20:51.624567+00:00
Heramba,31cb5e05-7684-4987-b175-48ec0451bbe2,google,gemini-3.1-flash-image-preview,130,1,5.16,2026-05-14T12:15:42.227006+00:00,2026-05-30T16:53:24.429683+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.1-fast,19,13,4.8,2026-04-16T15:37:07.741193+00:00,2026-04-18T09:30:58.62714+00:00
Sri Mahaganapathi Prarthasnmarana Stotram (1),13c259ce-57eb-4da3-8b7e-4e78f1940a1d,google,gemini-3-pro-image-preview,113,0,4.52,2026-05-13T11:47:30.599431+00:00,2026-05-25T05:44:04.993613+00:00
Sarvahristham,b925df9f-219a-4a99-ad1f-2916c6171114,google,gemini-3.1-flash-image-preview,109,0,4.36,2026-05-14T05:59:15.429521+00:00,2026-05-30T05:22:18.111485+00:00
Jnaana Chakshuse,ffee006a-482c-4777-8d5a-cfe96997315d,segmind,nano-banana-2,122,3,3.64,2026-05-12T07:50:11.376039+00:00,2026-05-13T04:37:39.9868+00:00
Vipannana (1),80ed621c-9e0b-4768-b772-5c4c0819d03f,google,gemini-3.1-flash-image-preview,86,0,3.44,2026-05-28T14:08:50.988894+00:00,2026-05-29T15:06:33.460265+00:00
Nirbhayaya Nirantwanthaya,092488bd-b2b0-4dce-9c8f-e8ce73c4546c,google,gemini-3.1-flash-image-preview,82,0,3.28,2026-05-14T07:10:54.423433+00:00,2026-05-28T15:20:08.06193+00:00
Om Sarvam Kalpitham,1cac9a11-d225-4856-94ad-009c1d5a84aa,google,gemini-3-pro-image-preview,84,0,3.27,2026-04-22T08:41:01.007894+00:00,2026-05-02T07:04:19.266285+00:00
Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,segmind,veo-3.1-fast-generate-preview,4,0,3.2,2026-04-14T05:56:47+00:00,2026-04-14T16:05:12+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.1-fast-generate-preview,4,0,3.2,2026-04-15T11:39:21+00:00,2026-04-15T12:12:13+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.1-fast-generate-001,4,0,3.2,2026-04-16T04:27:09+00:00,2026-04-16T04:43:37+00:00
Ekam Brahmmhai Vah Adhvaithiyam,2a7a7e33-4cac-4a90-847e-cfe27fd778e4,google,gemini-3.1-flash-image-preview,76,0,3.04,2026-05-14T11:30:40.888999+00:00,2026-05-31T12:37:25.802544+00:00
Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,gemini-3-pro-image-preview,78,0,2.94,2026-04-14T05:30:39+00:00,2026-04-24T07:45:02.063872+00:00
Sri Lakshmi Mahaganapathi Stotram,a3f467ac-a182-47f6-b3ac-0a54589e59fb,vertex,vertex:veo-3.1-fast-generate-001,4,0,2.8,2026-05-02T05:50:04.897078+00:00,2026-05-02T06:01:44.269853+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,google,gemini-3-pro-image-preview,70,0,2.77,2026-04-15T09:54:06+00:00,2026-04-24T08:29:26.571423+00:00
Sathyam Nyanam Anantham (1),a8741f9c-5fcc-4d8a-ba0a-fe00966c0531,google,gemini-3.1-flash-image-preview,65,0,2.6,2026-05-13T11:23:12.005071+00:00,2026-05-28T13:18:09.164947+00:00
Om Kaara Padma Brundaya,67e97fb6-d8c7-4ffa-8a21-1fb7dbe44048,google,gemini-3-pro-image-preview,64,0,2.44,2026-05-02T08:05:01.649762+00:00,2026-05-02T12:07:42.123302+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.0-fast-generate-001,3,0,2.4,2026-04-15T14:21:53+00:00,2026-04-15T14:22:04+00:00
Om Sarvam Kalpitham,1cac9a11-d225-4856-94ad-009c1d5a84aa,vertex,vertex:veo-3.1-fast-generate-001,3,0,2.4,2026-05-02T07:05:05.784658+00:00,2026-05-02T07:07:32.127649+00:00
Sarvahristham,b925df9f-219a-4a99-ad1f-2916c6171114,google,gemini-3-pro-image-preview,68,0,2.36,2026-05-02T07:22:14.349599+00:00,2026-05-26T07:58:59.201047+00:00
Vipannana,f4cab560-f0a9-4fc7-a277-9a004b660fb7,google,gemini-3-pro-image-preview,57,0,2.28,2026-04-28T07:06:40.11968+00:00,2026-05-14T05:47:05.267956+00:00
Shanthanantha Chithathamane,20b6c30b-52b8-4f67-8e35-c1863d748211,google,gemini-3.1-flash-image-preview,54,0,2.16,2026-05-14T11:12:06.488226+00:00,2026-05-30T06:32:32.903289+00:00
Shuklam Bharadaram Vishnum (Ganapathi Shloka),a2585320-ef27-47be-84b9-7b0024375907,google,gemini-3-pro-image-preview,56,0,2.12,2026-04-24T06:16:01.983332+00:00,2026-05-09T06:08:06.902673+00:00
Om Anadhyantham,5512913d-9289-460d-80e6-478c85fbcc17,google,gemini-3-pro-image-preview,53,0,2.12,2026-05-07T10:02:53.589655+00:00,2026-05-29T15:51:20.257858+00:00
Dandakam,44dbbd8e-c707-4876-9b9f-38a553679486,google,gemini-3.1-flash-image-preview,53,0,2.12,2026-05-26T09:32:19.705023+00:00,2026-05-31T13:22:53.117702+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,google,gemini-3-pro-image-preview,57,0,2.07,2026-04-21T10:40:49.178227+00:00,2026-05-13T05:53:08.123501+00:00
Gakaaravaachyam,0c777e6d-1e96-43ec-b85d-876eba953d35,google,gemini-3.1-flash-image-preview,48,0,1.92,2026-05-16T09:10:48.222937+00:00,2026-06-01T08:50:23.740986+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,google,gemini-3.1-flash-image-preview,45,1,1.76,2026-05-14T06:42:39.796505+00:00,2026-05-22T17:18:57.569601+00:00
Om Sri Gurubyonamaha (Ganapathi Prathane),699327b7-19c9-42e2-bbf1-fff815ba7cf6,google,gemini-3-pro-image-preview,51,0,1.74,2026-04-21T05:46:39.734201+00:00,2026-05-15T04:14:54.781534+00:00
Gakaaravaachyam,0c777e6d-1e96-43ec-b85d-876eba953d35,google,gemini-3-pro-image-preview,46,0,1.72,2026-05-16T08:33:03.854888+00:00,2026-06-01T08:37:12.307021+00:00
Sri Lakshmi Mahaganapathi Stotram,a3f467ac-a182-47f6-b3ac-0a54589e59fb,segmind,nano-banana-2,58,1,1.71,2026-05-11T14:27:51.796135+00:00,2026-05-12T06:47:16.019646+00:00
Sri Ganapathi Thaalam,4ac76eba-c2a5-4a97-ac74-423fd7cd8c58,google,gemini-3.1-flash-image-preview,41,0,1.64,2026-06-01T07:25:38.501834+00:00,2026-06-01T09:36:46.234465+00:00
Shuklam Bharadaram Vishnum (Ganapathi Shloka),a2585320-ef27-47be-84b9-7b0024375907,segmind,veo-3.1-fast,2,0,1.6,2026-05-09T06:12:50.374723+00:00,2026-05-09T06:43:26.522331+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.1-generate-preview,1,0,1.6,2026-04-16T11:23:02.37459+00:00,2026-04-16T11:23:02.37459+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,google,gemini-3.1-flash-image-preview,39,0,1.56,2026-05-15T06:15:35.207484+00:00,2026-05-22T04:15:55.750714+00:00
Dandakam,44dbbd8e-c707-4876-9b9f-38a553679486,google,gemini-3-pro-image-preview,43,0,1.51,2026-05-26T09:10:05.941717+00:00,2026-05-31T13:05:14.228025+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,google,gemini-3-pro-image-preview,42,0,1.5,2026-04-15T07:36:47+00:00,2026-05-15T06:19:45.403214+00:00
Vipannana,f4cab560-f0a9-4fc7-a277-9a004b660fb7,google,gemini-3.1-flash-image-preview,36,1,1.4,2026-05-14T05:49:44.254353+00:00,2026-05-28T14:01:48.314903+00:00
Om Sri Gurubyonamaha (Ganapathi Prathane),699327b7-19c9-42e2-bbf1-fff815ba7cf6,google,gemini-3.1-flash-image-preview,34,1,1.32,2026-05-20T08:56:08.605792+00:00,2026-05-22T09:52:30.584556+00:00
Sathyam Nyanam Anantham (1),a8741f9c-5fcc-4d8a-ba0a-fe00966c0531,google,gemini-3-pro-image-preview,36,0,1.23,2026-05-13T10:24:39.959057+00:00,2026-05-25T05:35:40.873669+00:00
Heramba,31cb5e05-7684-4987-b175-48ec0451bbe2,google,gemini-3-pro-image-preview,32,0,1.1,2026-05-14T11:52:14.770739+00:00,2026-05-30T05:30:10.387383+00:00
Nirbhayaya Nirantwanthaya,092488bd-b2b0-4dce-9c8f-e8ce73c4546c,google,gemini-3-pro-image-preview,29,0,1.04,2026-05-14T06:56:46.584359+00:00,2026-05-25T08:01:35.592065+00:00
Ganesha Vandanam - Sloka (2),d303db34-368c-42f5-a144-3148fec4dfa5,google,gemini-3.1-flash-image-preview,26,0,1.04,2026-05-22T09:19:02.305674+00:00,2026-05-22T11:15:40.294896+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,segmind,nano-banana-2,54,26,0.99,2026-05-11T08:52:51.934812+00:00,2026-05-13T05:56:04.843524+00:00
